Tomb No.,Alternate No.,Location,Collection Date,Elevation (MSL),Occupant,Translit. Occupant,Nickname,Translit. Nickname,Occupant Status,Period,Dynasty,Reigning King,Date Begin,Date End,Title1,Title2,Title3,Spouse,Translit. Spouse,Father,Translit. Father,Mother,Translit. Mother,Usurper,Translit. Usurper,Photo Link,Web Link,Notes,Bibliography,ppnsl,x,y
k438,,Qurnet Murai,3/7/2006,88.449,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/k438.htm,,,"Kampp, TN 2, 772.",,460480.09300000034,2845369.785
k439,,Qurnet Murai,3/7/2006,88.938,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/k439.htm,,,"Kampp, TN 2, 772.",,460486.07100000046,2845374.262
k440,,Qurnet Murai,3/7/2006,85.635,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/k440.htm,,,"Kampp, TN 2, 772.",,460489.83800000045,2845377.937000001
k441,,Qurnet Murai,3/7/2006,78.488,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/k441.htm,,,"Kampp, TN 2, 772.",,460491.3799999999,2845382.49
k442,,Qurnet Murai,3/7/2006,81.851,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/k442.htm,,,"Kampp, TN 2, 772.",,460495.7980000004,2845385.9519999996
k443,,Qurnet Murai,3/7/2006,79.079,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/k443.htm,,,"Kampp, TN 2, 772.",,460499.3269999996,2845389.5610000007
k444,,Qurnet Murai,3/7/2006,77.733,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/k444.htm,,,"Kampp, TN 2, 772.",,460503.1849999996,2845393.1119999997
k445,,Qurnet Murai,3/7/2006,78.54,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/k445.htm,,,"Kampp, TN 2, 772.",,460509.9129999997,2845399.6219999995
k446,,Qurnet Murai,3/7/2006,78.248,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/k446.htm,,,"Kampp, TN 2, 772.",,460511.93099999987,2845402.92
k449,,SAQ Plain,12/3/2005,119.763,Unknown,,,,Primary Owner,Middle Kingdom,11 to 13,,2134,1668,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 772.",,460567.1349999998,2845938.6679999996
k450,,SAQ Upper Enclosure,12/3/2005,127.901,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,,,"buried, location approximated.","Kampp, TN 2, 772.",,460545.92899999954,2846023.931
k451,,SAQ Upper Enclosure,12/6/2005,147.737,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,"Kampp, TN 2, 772.",,460501.6919999998,2846023.8049999997
k452,,SAQ Upper Enclosure,12/3/2005,140.378,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,,,buried under stairs on slope (if Kampp's sketch is accurate),"Kampp, TN 2, 772.",,460602.216,2846061.880000001
k453,,SAQ Upper Enclosure,12/6/2005,136.827,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,https://lhtt.philhist.unibas.ch/sheikh-abd-el-qurna/k453/,Under excavation and study by University of Basel (Bickel and Gnirs),"Kampp, TN 2, 772; 
Strudwick, N. and J. H. Taylor, eds. The Theban Necropolis: Past, Present, and Future. London: BM Press, 2003, 220, 223.",,460589.4919999996,2846058.517000001
k454,,SAQ Upper Enclosure,12/6/2005,141.18,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,"buried, location approximated.","Kampp, TN 2, 772.",,460559.8119999999,2846058.7190000005
k455,,SAQ Upper Enclosure,12/4/2005,152.582,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,"buried, location approximated.","Kampp, TN 2, 772.",,460601.77799999993,2846095.977
k457,,SAQ Upper Enclosure,11/18/2005,153.725,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,"buried, location approximated.","Kampp, TN 2, 772.",,460651.8269999996,2846120.601
k458,,SAQ Upper Enclosure,11/14/2005,142.116,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,"originally collected as ""k459""; corrected 11/17/05; located high above tt060","Kampp, TN 2, 773.",,460676.2960000001,2846121.6449999996
k459,,SAQ Upper Enclosure,11/18/2005,144.586,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,"Kampp, TN 2, 773.",,460673.5259999996,2846123.285
k460,,SAQ Upper Enclosure,11/16/2005,152.116,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,"Kampp, TN 2, 773.",,460672.4639999997,2846150.319
k461,,SAQ Upper Enclosure,11/11/2005,148.517,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,"Kampp, TN 2, 773.",,460685.86099999957,2846147.2909999993
k462,,SAQ Upper Enclosure,11/9/2005,126.186,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,buried; location closely approx.,"Kampp, TN 2, 773.",,460722.99700000044,2846203.761
k463,mma852 (?),SAQ Upper Enclosure,11/9/2005,131.302,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,k463 = mma852(?); buried under mma850; location approximated.,"Kampp, TN 2, 773.",,460722.7740000002,2846218.978
k464,,SAQ Upper Enclosure,11/8/2005,117.26,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,"Close inspection (11/05) shows that this tomb is situated in a wide crack in the desert floor, and appears to be an irregular shaft with pointed ceiling, partially filled with rubble. Location of the tomb is based on Kampp; however identification as a tomb is unclear. Perhaps the opening is merely a natural feature in the rock.; sloping shaft in crack; probably not a tomb.","Kampp, TN 2, 773.",,460773.7719999999,2846223.2750000004
k465,,SAQ Upper Enclosure,11/6/2005,112.427,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,Close inspection shows that this tomb is buried under a massive pile of rubble (based on observation 11/05--PAP). The location is based on Kampp; however it is not accessible and verifiable. Located east of tt064; located beside/north of k007.,"Kampp, TN 2, 773.",,460780.54700000025,2846222
k466,,SAQ Upper Enclosure,11/8/2005,121.647,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,apparently buried under rubble hill; location approximated.,"Kampp, TN 2, 773.",,460770.0070000002,2846205.4509999994
k467,,SAQ Upper Enclosure,11/8/2005,117.99,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,,,located south of k005 in corner,"Kampp, TN 2, 773.",,460788.8080000002,2846207.739
k468,,SAQ Upper Enclosure,11/6/2005,99.977,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,Tomb is located under modern structure or enclosure (as of 2006); location approximated.,"Kampp, TN 2, 773.",,460825.63800000027,2846196.0069999993
k469,,SAQ Plain,12/6/2005,104.145,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,Tomb is located under modern structure or enclosure (as of 2006); location approximated.,"Kampp, TN 2, 773.",,460645.7139999997,2845993.403999999
k470,,SAQ Plain,12/6/2005,105,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,Tomb is located under modern structure or enclosure (as of 2006).,"Kampp, TN 2, 773.",,460647.8849999998,2845998.357999999
k471,,SAQ Plain,11/20/2005,94.497,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,Tomb is mostly buried.,"Kampp, TN 2, 773.",,460712.29399999976,2845990.0409999993
k472,,SAQ Plain,11/20/2005,94.714,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,"buried, location approximated.","Kampp, TN 2, 773.",,460713.0379999997,2845992.1789999995
k473,,SAQ Plain,11/20/2005,95.034,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,"buried, location approximated.","Kampp, TN 2, 773.",,460710.73199999984,2845991.965
k479,,SAQ Plain,11/20/2005,115.893,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,Tomb is located under modern structure or enclosure (as of 2006).,"Kampp, TN 2, 773.",,460682.00299999956,2846035.512
k480,,SAQ Plain,11/20/2005,106.051,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,"Tomb is located under modern structure or enclosure (as of 2006), northeast of big house.","Kampp, TN 2, 773.",,460692.80200000014,2846022.262
k481,,SAQ Plain,11/30/2005,103.637,Unknown,,,,Primary Owner,Third Intermediate Period; Late Period,21 (?),Psusennes I,1014,1014,King's daughter,,,,,,,,,,,,,"buried, location approximated.","Kampp, TN 2, 773.",,460706.642,2846020.073000001
k482,,SAQ Plain,11/20/2005,101.151,Unknown,,,,Primary Owner,Third Intermediate Period; Late Period,21 (?),Psusennes I,1014,1014,King's daughter,,,,,,,,,,,,,"buried, location approximated.","Kampp, TN 2, 773.",,460713.8150000004,2846029.437000001
k483,,SAQ Plain,11/20/2005,100.638,Unknown,,,,Primary Owner,Third Intermediate Period; Late Period,21 (?),Psusennes I,1014,1014,King's daughter,,,,,,,,,,,,,"buried, location approximated.","Kampp, TN 2, 773.",,460718.1090000002,2846033.619999999
k485,,SAQ Plain,11/20/2005,115.852,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,Tomb is located under modern structure or enclosure (as of 2006); buried above k486.,"Kampp, TN 2, 773.",,460692.1799999997,2846047.698999999
k486,,SAQ Plain,11/18/2005,112.51,Unknown,,,,Primary Owner,New Kingdom,18,Ahmose to Amenhotep II,1570,1419,Unknown,,,,,,,,,,,,,"Tomb is located under modern structure or enclosure (as of 2006). According to Kampp, TN 2, 773 the architectural style indicates an original construction date in early Dyn. 18.","Kampp, TN 2, 773.",,460690.0379999997,2846037.9839999992
k487,,SAQ Plain,11/20/2005,108.171,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,"Tomb is located under modern structure or enclosure, low & blocked (as of 2006).","Kampp, TN 2, 773.",,460697.97200000007,2846042.035
k488,,SAQ Plain,11/12/2005,109.331,Unknown,,,,Primary Owner,Middle Kingdom,11 to 13,,2134,1668,Unknown,,,,,,,,,,,,,"Tomb is located under modern structure or enclosure (as of 2006). According to Kampp, TN 2, 773, a date to the Middle Kingdom is indicated by the typical style of the stocky pillars.; in enclosed yard behind house","Kampp, TN 2, 773.",,460729.64800000004,2846051.1889999993
k489,,SAQ Plain,11/20/2005,105.571,Unknown,,,,Primary Owner,Third Intermediate Period; Late Period,21 (?),Psusennes I,1014,1014,King's daughter,,,,,,,,,,,,,Tomb is located under modern structure or enclosure (as of 2006).,"Kampp, TN 2, 773.",,460736.2929999996,2846046.6459999997
k490,,SAQ Plain,11/12/2005,118.101,Unknown,,,,Primary Owner,Third Intermediate Period; Late Period,21 (?),Psusennes I,1014,1014,King's daughter,,,,,,,,,,,,,Tomb is located under modern structure or enclosure (as of 2006); located south of k491.,"Kampp, TN 2, 773.",,460706.6629999997,2846061.0030000005
k491,,SAQ Plain,11/16/2005,148.817,Unknown,,,,Primary Owner,Third Intermediate Period; Late Period,21 (?),Psusennes I,1014,1014,King's daughter,,,,,,,,,,,,,Tomb is located under modern structure or enclosure (as of 2005); location approximated.,"Kampp, TN 2, 773.",,460691.12399999984,2846148.3000000007
k492,,SAQ Plain,11/12/2005,123.704,Unknown,,,,Primary Owner,Third Intermediate Period; Late Period,21 (?),Psusennes I,1014,1014,King's daughter,,,,,,,,,,,,,Tomb is located under modern structure or enclosure (as of 2006).,"Kampp, TN 2, 773.",,460718.94099999964,2846074.545
k493,,SAQ Plain,11/9/2005,120.838,Unknown,,,,Primary Owner,Third Intermediate Period; Late Period,21 (?),Psusennes I,1014,1014,King's daughter,,,,,,,,,,,,,"Tomb is situated on the south side of the courtyard of tt350 (k088?). Until recently, it was located under modern house, now removed (based on observation 11/05--PAP). Currently, the entrance wa used as a toilet for the nearby house.; located in courtyard k088","Kampp, TN 2, 773.",,460724.9330000002,2846068.216
k503,,SAQ Plain,12/9/2005,103.866,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,"Tomb is located under modern structure or enclosure (as of 2006). Among those tombs (k499-k505) possibly identified as the unnumbered tomb of the High Priest Meryptah (Dyn. 18). Exact location of that tomb is unknown, but PM1/2, 670, ""pit behind Yanni's house,"" fits this tomb and the others in the series mentioned. (Cross-reference record ID no. 504 for data on unnumbered tomb of Meryptah).; receiver raised 1 m.","Kampp, TN 2, 773.",,460814.03500000015,2846043.3369999994
k504,,SAQ Plain,12/9/2005,103.819,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,"Tomb is located under modern structure or enclosure (as of 2006). Among those tombs (k499-k505) possibly identified as the unnumbered tomb of the High Priest Meryptah (Dyn. 18). Exact location of that tomb is unknown, but PM1/2, 670, ""pit behind Yanni's house,"" fits this tomb and the others in the series mentioned. (Cross-reference record ID no. 504 for data on unnumbered tomb of Meryptah).; located in court behind house of Taya el-Duwy","Kampp, TN 2, 773.",,460805.466,2846043.6119999997
k505,,SAQ Plain,12/9/2005,100.441,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,"Tomb is located under modern structure or enclosure (as of 2006). Among those tombs (k499-k505) possibly identified as the unnumbered tomb of the High Priest Meryptah (Dyn. 18). Exact location of that tomb is unknown, but PM1/2, 670, ""pit behind Yanni's house,"" fits this tomb and the others in the series mentioned. (Cross-reference record ID no. 504 for data on unnumbered tomb of Meryptah).; GPS location collected 3.63 m. in front of doorway and 1.5 m. upward","Kampp, TN 2, 773.",,460803.06799999997,2846049.4749999996
k516,,SAQ Plain,12/10/2005,90.654,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,receiver raised up 3 m.,"Kampp, TN 2, 774.",,460822.5820000004,2845979.5370000005
k517,,SAQ Plain,12/12/2005,90.756,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,Tomb is located under modern structure or enclosure (as of 2006); partly buried,"Kampp, TN 2, 774.",,460808.9040000001,2845969.0710000005
k518,,SAQ Plain,12/12/2005,91.191,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,Tomb is located under modern structure or enclosure (as of 2006); receiver raised up 4 m. above entry partly buried ,"Kampp, TN 2, 774.",,460823.11000000034,2845962.2870000005
k519,,SAQ Plain,12/12/2005,89.593,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,"Tomb is located under modern structure or enclosure (as of 2006), buried; location approximated.","Kampp, TN 2, 774.",,460827.40299999993,2845955.9979999997
k528,,SAQ Plain,12/18/2005,82.806,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,"Kampp, TN 2, 774.",,460767.59499999974,2845872.3900000006
k542,,SAQ Plain,1/20/2006,83.569,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,Tomb is located under modern structure or enclosure (as of 2006); inside Saad Ayad's house against vertical rock face.,"Kampp, TN 2, 774.",,460659.7089999998,2845888.130000001
k543,,SAQ Plain,1/14/2006,90.752,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,Tomb is located under modern structure or enclosure (as of 2006); inside Saad Ayad's house against vertical rock face,"Kampp, TN 2, 774.",,460666.59300000034,2845893.6119999997
k544,,SAQ Plain,12/19/2005,93.515,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,Tomb is located inside and behind modern house (as of 2006); sealed doorway was used as support for grinding mill.,"Kampp, TN 2, 774.",,460664.9249999998,2845917.682
k545,,SAQ Plain,12/18/2005,96.103,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,Tomb is located under modern structure or enclosure (as of 2006); horrific toilet tomb north of Saad Ayad's house.,"Kampp, TN 2, 774.",,460671.4570000004,2845902.591
mma059,,Deir el-Bahari,3/26/2006,112.682,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma059.htm,,shares courtyard on east with later tomb tt312; ,,,460694.1440000003,2846739.283
mma060,,Deir el-Bahari,3/26/2006,114.526,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma060.htm,,buried; location closely approximated,,,460686.1030000001,2846742.399
mma101,,Deir el-Bahari,3/26/2006,111.101,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma101.htm,,located in MMA cemetery 100,,,460739.28199999966,2846761.431
mma106,,Deir el-Bahari,3/28/2006,114.352,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma106.htm,,located in MMA cemetery 100,,,460817.8590000002,2846747.8159999996
mma107,,Deir el-Bahari,3/28/2006,105.047,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma107.htm,,"Tomb is located in MMA cemetery 100 at the western end of the Hatshepsut quarry, north and above the tomb of Senenmut (tt353), which it faces. It is situated the sloping base of the quarry, partly buried in wide yawning cavity exposed to the sky. It is built on north-south axis facing south. Date is uncertain, but a long axial corridor overlooking Mentuhotep II causeway suggests Middle Kingdom (Dynasty 11). It is located in a geological stratum of soft Esna Shale, with the vaulted ceiling of the axial corridor little more than a meter below below the harder Theban Limestone stratum above.  The entrance, and perhaps part of the axial corridor, are destroyed. Evident at the surface is the vaulted ceiling of the corridor blocked with stone. Most tombs of MMA cemetery 100 are located in a quarry whose upper limestone strata has been sheared away leaving only the shale below, apparently exposing and destroying the tombs within it. So, mma107 may have been damaged originally as part of the quarry activity.",,,460824.25299999956,2846715.6630000006
mma1104,,Qurnah reverse slope,1/22/2006,154.729,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,,,460468.61199999973,2846272.471999999
mma1105a,,Qurnah reverse slope,1/22/2006,159.027,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,,,460448.0870000003,2846265.9639999997
mma1105b,,Qurnah reverse slope,1/22/2006,154.069,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,,,460455.00100000016,2846269.101
mma1106,,Qurnah reverse slope,1/22/2006,148.634,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,,,460417.40500000026,2846258.9700000007
mma1107,,Qurnah reverse slope,1/20/2006,142.531,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,,,460398.98699999973,2846202.323000001
mma1108,,Qurnah reverse slope,1/21/2006,145.027,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,,,460395.7860000003,2846174.842
mma1109,,Qurnah reverse slope,1/17/2006,140.315,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,,,460373.47300000023,2846151.806
mma1110,,Qurnah reverse slope,1/20/2006,133.23,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,,,460340.81400000025,2846127.067
mma1112,,Qurnah reverse slope,1/21/2006,139.988,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,,,460356.58100000024,2846099.2249999996
mma1113,,Qurnah reverse slope,1/17/2006,159.055,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,,,460470.65500000026,2846096.6950000003
mma1114,,Qurnah reverse slope,1/17/2006,155.98,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,,,,460456.62600000016,2846065.989
mma1115,k080,SAQ Plain,1/17/2006,152.078,Unknown,,,,Primary Owner,Middle Kingdom,11 to 13,,2134,1668,Unknown,,,,,,,,,,,,,"Tomb is located outside the Upper Enclosure on the western slope of Gebel Sheikh abd el-Qurnah facing west and the causeway of the temple of Amenemhat I. Tomb is not indicated in Kampp, TN 2, plan 3.","Kampp, TN 2, 675-676.",,460476.8030000003,2846015.067
mma1116,,Qurnah South,12/19/2005,133.897,Unknown,,,,Primary Owner,Undefined,,,,,Unknown,,,,,,,,,,,,,,,,460526.20999999996,2845968.0020000003
mma1118,k079,SAQ Upper Enclosure,12/6/2005,144.91,Unknown,,,,Primary Owner,Middle Kingdom,13 to 13,,2134,1668,Unknown,,,,,,,,,,,,,Tomb entrance is blocked up.,"Kampp, TN 2, 675, 676.",,460497.9160000002,2846017.5419999994
mma1119,k077,SAQ Upper Enclosure,12/5/2005,161.709,Unknown,,,,Primary Owner,Middle Kingdom,12 to 13,,2134,1668,Unknown,,,,,,,,,,,,,Tomb entrance is blocked up.,"Kampp, TN 2, 674, 675.",,460497.24399999995,2846063.2139999997
mma112,p161,Deir el-Bahari,3/28/2006,97.709,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma112.htm,,located in MMA cemetery 100,,,460864.26499999966,2846689.535
mma1120,k076,SAQ Upper Enclosure,12/5/2005,163.545,Unknown,,,,Primary Owner,Middle Kingdom,11 to 13,,2134,1668,Unknown,,,,,,,,,,,,,k076=mma1120; the largest saff-tomb on Sheikh Abd el-Qurnah,"Arnold, D. Das Grab des Jnj-jt.f. AVDAIK 4. Mainz: Verlag Philipp von Zabern, 1971, p. 41, pl. 18; 
Kampp, TN 2, 673-674; 
PM 1/2, 677.",,460529.83999999985,2846088.789999999
mma113,p162,Deir el-Bahari,3/28/2006,107.338,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma113.htm,,located in MMA cemetery 100,,,460901.7929999996,2846706.130999999
mma114,p166,Deir el-Bahari,3/28/2006,105.918,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma114.htm,,"Tomb is located in MMA cemetery 100, at base of northern slope directly above Hatshepsut quarry. It is built on north-south axis facing south. Date is uncertain, but long axial corridor overlooking Mentuhotep II causeway suggests Middle Kingdom (Dynasty 11). Evidently, it shares a courtyard with mma115 adjacent on the east. Like most tombs in this section, it is built at join of 2 geological strata, softer Esna Shale below and harder Theban Limestone above. Thus, the main body of the tomb is cut into shale, while the ceiling is limestone. The axial corridor is very long; the vaulted limestone ceiling has collapsed in 3 sections and is open to the sky. The burial chamber is deeply buried. Most tombs of MMA cemetery 100 are located in a quarry whose upper limestone strata has been sheared away leaving only the shale below, apparently exposing and destroying the tombs within it. Thus, mma114 may have been damaged as part of the quarry activity.",,,460971.00100000016,2846698.7190000005
mma115,p167,Deir el-Bahari,3/28/2006,105.559,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/p167.htm,,"Tomb is located in MMA cemetery 100, at base of northern slope directly above Hatshepsut quarry. It is built on east-west axis facing west. Date is uncertain, but axial corridor overlooking Mentuhotep II causeway suggests Middle Kingdom (Dynasty 11). Evidently, it shares a courtyard with mma114 adjacent on the northwest. Like most tombs in this section, it is built at join of 2 geological strata, softer Esna Shale below and harder Theban Limestone above. Thus, the main body of the tomb is cut into shale, while the ceiling is limestone. The axial corridor has collapsed and is buried, leaving a wide yawning cavity exposed to the air. The burial chamber is deeply buried. Most tombs of MMA cemetery 100 are located in a quarry whose upper limestone strata has been sheared away leaving only the shale below, apparently exposing and destroying the tombs within it. Thus, mma115 may have been damaged as part of the quarry activity.",,,460973.1950000003,2846692.017000001
mma131,p163,Deir el-Bahari,3/28/2006,109.031,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma131.htm,,located in MMA cemetery 100,,,460910.6330000004,2846722.1339999996
mma504,Carter82; p160,Deir el-Bahari,3/25/2006,160.469,,,,,Primary Owner,Middle Kingdom,11,Mentuhotep I to Mentuhotep IV,2134,1991,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma504.htm,,"located in MMA cemetery 500; mma504=Carter no. 82, so called the ""dirty grotto""; mma504 directly overlooks the temple of Hatshepsut. Unfinished Middle Kingdom tomb reused in the New Kingdom, probably as resting place for workers and priests associated with the temple who left figured grafffiti and votive texts (viz. figure of Senemmut). Other graffiti include erotic figures, as well as stela and prayers written by priests an visitors (18th and 19th Dyns.) to the temple below.","Hue-Arcé, C. BIFAO 113 (2013): 194-202; 
PM 1/2, 658; 
Ragazzoli, C. La grotte des scribes à Deir el-Bahari: la tombe MMA 504 et ses graffiti. MIFAO 135. Cairo: IFAO, 2017",,460603.7980000004,2846847.2520000003
mma506,,Deir el-Bahari,3/26/2006,159.774,Unknown,,,,Primary Owner,Middle Kingdom,11,Nebhepetre-Mentuhotep II,2061,2010,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma506.htm,,located in MMA cemetery 500; date to reign of Mentuhotep II based on location and architecture.,,,460757.8459999999,2846856.3589999992
mma507,,Deir el-Bahari,3/26/2006,150.153,various,,,,Primary Owner,Middle Kingdom,11,Nebhepetre-Mentuhotep II,2061,2010,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma507.htm,,located in MMA cemetery 500. Tomb contained the burial cache of 60 soldiers of Nebhepetre-Mentuhotep II killed in action.,"PM 1/2, 650; 
Winlock, H. The Slain Soldiers of Neb-hepet-re Mentu-hotpe. PMMA 16. New York: MMA, 1945; 
Winlock, H. BMMA 23/2 (February 1928): 11-16.",,460779.6299999999,2846829.819
mma509,,Deir el-Bahari,3/26/2006,150.347,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma509.htm,,located in MMA cemetery 500,"Chudzik, P. Polish Archaeology in the Mediterranean 24 (2015): 239-246; 
Chudzik, P. Polish Archaeology in the Mediterranean 27 (2018): 183-194.",,460849.9519999996,2846832.6180000007
mma511,,Deir el-Bahari,3/26/2006,173.535,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma511.htm,,located in MMA cemetery 500,"Chudzik, P. Polish Archaeology in the Mediterranean 27 (2018): 183-194.",,460923.62799999956,2846841.460000001
mma512,,Deir el-Bahari,3/29/2006,152.1,Nebseni (?),nb-snj,,,,Undefined,Unknown,,,,,,,Henenu (?),Hnnw,,,,,,,https://gis.cofc.edu/olgistn/mma512.htm,,"located in MMA cemetery 500. Name of owner and wife presumed from a wooden stela discovered by Winlock in 1922-1923 (so also Chudzik, 243).","Chudzik, P. Polish Archaeology in the Mediterranean 24 (2015): 239-246; 
Chudzik, P. Polish Archaeology in the Mediterranean 27 (2018): 183-194.",,460946.07100000046,2846828.853
mma514,,Deir el-Bahari,3/29/2006,159.882,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma514.htm,,located in MMA cemetery 500,"Chudzik, P. Polish Archaeology in the Mediterranean 24 (2015): 239-246; 
Chudzik, P. Polish Archaeology in the Mediterranean 27 (2018): 183-194.",,460982.5089999996,2846845.7799999993
mma515,,Deir el-Bahari,3/29/2006,142.058,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/mma515.htm,,located in MMA cemetery 500,"Chudzik, P. Polish Archaeology in the Mediterranean 27 (2018): 183-194.",,461005.9759999998,2846843.5769999996
